"","ID","language","channel","country","age","dev.environment","app.type","mobile.os","desktop.os","programming.language.migrate","programming.language.primary","unit.testing","database","database.migrate","database.host","tool.usage"
"31",554,"English","internal","Germany","30-39","Windows","Mobile","Windows","Windows","C++","Visual Basic","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a week"
"32",577,"English","external","United Kingdom","21-29","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","Redis","Locally","All day long"
"33",595,"English","internal","Netherlands","18-20","Windows","Mobile","Windows","Windows","C++","C#","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Private Servers","Several times a week"
"34",598,"English","internal","Belgium","21-29","Windows","Web Back-end","iOS","Windows","No, not planning to adopt / migrate","Visual Basic","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"35",604,"English","internal","Belgium","18-20","Unix / Linux","Web Back-end","iOS","Unix / Linux","No, not planning to adopt / migrate","Swift","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"36",650,"English","internal","United Kingdom","18-20","Windows","Web Back-end","Android","Windows","Ruby","Java","No","MySQL","No, not planning to adopt / migrate","Locally","Less frequently"
"37",651,"English","external","United States","21-29","Unix / Linux","Web Back-end","Android","Windows","Java","Python","Yes, I write unit tests","MySQL","MongoDB","Locally","All day long"
"38",654,"English","internal","United States","30-39","Unix / Linux","Web Back-end","Android","Unix / Linux","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","Less frequently"
"39",666,"English","external","Canada","21-29","Unix / Linux","Web Back-end","Android","Windows","C","JavaScript","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"40",670,"Russian","internal","Russia","30-39","Windows","Mobile","Android","Windows","Kotlin","Java","No","SQLite","No, not planning to adopt / migrate","Locally","Several times a day"
"41",676,"English","external","Canada","21-29","Windows","Mobile","Android","Windows","Objective-C","C++","Yes, I write unit tests","MongoDB","No, not planning to adopt / migrate","Locally","Several times a week"
"42",677,"Chinese (s","internal","China","21-29","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","JavaScript","Yes, I write unit tests","Oracle Database","MySQL","Private Servers","Several times a week"
"43",691,"Chinese (s","internal","China","21-29","macOS","Web Front-end","Android","macOS","No, not planning to adopt / migrate","JavaScript","Yes, I use unit tests, but I don't write them","SQLite","No, not planning to adopt / migrate","Locally","All day long"
"44",706,"English","internal","United States","40-49","Windows","Web Front-end","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"45",708,"English","external","Germany","18-20","Windows","Web Back-end","Windows","Windows","Swift","Scala","No","MySQL","Couchbase","Private Servers","Less frequently"
"46",711,"English","internal","Hungary","21-29","Windows","Mobile","Android","Windows","Kotlin","Java","No","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a week"
"47",727,"Spanish","external","Mexico","18-20","Windows","Mobile","Android","Windows","PHP","Java","Yes, I use unit tests, but I don't write them","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
"48",728,"Portuguese","external","Brazil","18-20","macOS","Web Back-end","Windows","macOS","Python","JavaScript","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Amazon Web Services","All day long"
"49",732,"German","external","Germany","17 or younger","Unix / Linux","Mobile","Android","Windows","Python","Java","No","SQLite","MongoDB","Private Servers","Several times a day"
"50",740,"English","external","United Kingdom","40-49","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Microsoft Azure","All day long"
"51",744,"Chinese (s","internal","China","21-29","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","PHP","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"52",755,"English","internal","Canada","50-59","Windows","Mobile","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a week"
"53",765,"Spanish","external","Mexico","21-29","Windows","Web Back-end","Windows","Windows","C#","PHP","No","MySQL","MongoDB","Locally","All day long"
"54",791,"English","internal","Belgium","30-39","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","Oracle Database","No, not planning to adopt / migrate","Locally","All day long"
"55",813,"English","external","Canada","18-20","Windows","Web Back-end","Windows","Windows","C","PHP","Yes, I use unit tests, but I don't write them","MS SQL Server","SQLite","Locally","Several times a day"
"56",829,"English","internal","Turkey","21-29","Windows","Mobile","Android","Windows","C++","Python","No","MySQL","No, not planning to adopt / migrate","Locally","Less frequently"
"57",844,"French","external","France","40-49","Windows","Web Front-end","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I use unit tests, but I don't write them","MS SQL Server","No, not planning to adopt / migrate","Microsoft Azure","Several times a week"
"58",855,"Portuguese","external","Brazil","30-39","Windows","Web Back-end","Windows","Windows","Swift","C#","Yes, I write unit tests","MS SQL Server","Cassandra","Locally","All day long"
"59",867,"German","external","Germany","40-49","macOS","Web Back-end","Android","Windows","Go","Java","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"60",891,"German","external","Germany","30-39","Windows","Web Back-end","Android","Windows","C++","HTML / CSS","No","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"61",903,"Turkish","external","Turkey","21-29","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","PHP","Yes, I use unit tests, but I don't write them","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a week"
"62",927,"English","internal","United Kingdom","40-49","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Less frequently"
"63",933,"English","internal","France","30-39","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"64",955,"Korean","external","South Korea","60 or older","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","DB2","No, not planning to adopt / migrate","Locally","All day long"
"65",980,"Turkish","external","Turkey","17 or younger","Windows","Web Back-end","Android","Windows","C++","PHP","No","MySQL","SQLite","Locally","Less frequently"
"66",983,"German","internal","Germany","18-20","Windows","Web Back-end","Windows","Windows","JavaScript","Java","Yes, I write unit tests","DB2","No, not planning to adopt / migrate","Locally","All day long"
"67",1021,"German","external","Germany","18-20","Windows","Mobile","Android","Unix / Linux","Swift","Java","No","MySQL","No, not planning to adopt / migrate","Private Servers","All day long"
"68",1042,"English","internal","Croatia","50-59","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C#","No","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a week"
"69",1063,"English","external","United Kingdom","30-39","Unix / Linux","Web Back-end","Windows","Windows","Swift","PHP","No","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"70",1071,"English","external","Brazil","17 or younger","Unix / Linux","Mobile","Android","Windows","Python","C++","No","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
"71",1076,"English","external","Ukraine","21-29","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
"72",1087,"English","external","United Kingdom","30-39","Windows","Web Front-end","Android","Windows","No, not planning to adopt / migrate","PHP","Yes, I write unit tests","MySQL","Redis","Locally","All day long"
"73",1088,"English","external","United Kingdom","21-29","macOS","Web Back-end","iOS","macOS","TypeScript","JavaScript","Yes, I use unit tests, but I don't write them","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"74",1111,"English","internal","Czech Republic","21-29","Unix / Linux","Web Back-end","Android","Unix / Linux","Java","PHP","No","MySQL","No, not planning to adopt / migrate","Private Servers","All day long"
"75",1113,"English","internal","United Kingdom","30-39","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","C++","Yes, I write unit tests","SQLite","No, not planning to adopt / migrate","Locally","Several times a day"
"76",1115,"Polish","external","Poland","21-29","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C#","Yes, I use unit tests, but I don't write them","MySQL","No, not planning to adopt / migrate","Private Servers","Several times a day"
"77",1119,"English","internal","United States","17 or younger","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","JavaScript","Yes, I write unit tests","PostgreSQL","No, not planning to adopt / migrate","Amazon Web Services","All day long"
"78",1124,"English","internal","United States","30-39","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","JavaScript","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Private Servers","Several times a week"
"79",1130,"Japanese","external","Japan","30-39","Windows","Web Back-end","Windows","Windows","TypeScript","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"80",1153,"Spanish","external","Argentina","21-29","Windows","Mobile","Windows","Windows","No, not planning to adopt / migrate","Other - Write In:","Yes, I use unit tests, but I don't write them","MS SQL Server","No, not planning to adopt / migrate","Private Servers","Several times a week"
"81",1163,"Korean","external","South Korea","30-39","Windows","Web Front-end","Windows","Windows","No, not planning to adopt / migrate","C#","No","MS SQL Server","MySQL","Private Servers","Less frequently"
"82",1170,"English","external","Sweden","40-49","Unix / Linux","Mobile","Android","Windows","C++","Java","Yes, I write unit tests","SQLite","No, not planning to adopt / migrate","Locally","Less frequently"
"83",1171,"English","internal","Germany","17 or younger","Windows","Web Back-end","Android","Windows","Python","Java","No","MySQL","No, not planning to adopt / migrate","Private Servers","Several times a week"
"84",1175,"Korean","external","South Korea","18-20","Windows","Web Back-end","Android","Unix / Linux","C++","Python","No","SQLite","No, not planning to adopt / migrate","Locally","Several times a week"
"85",1183,"English","external","Poland","30-39","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","C++","Yes, I write unit tests","Other - Write In:","No, not planning to adopt / migrate","Locally","Never"
"86",1194,"Turkish","external","Turkey","21-29","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","PHP","Yes, I write unit tests","MS SQL Server","PostgreSQL","Locally","Several times a week"
"87",1212,"English","internal","Germany","17 or younger","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","No","MySQL","No, not planning to adopt / migrate","Private Servers","All day long"
"88",1222,"English","external","Argentina","40-49","Unix / Linux","Web Back-end","Android","Windows","No, not planning to adopt / migrate","JavaScript","Yes, I write unit tests","PostgreSQL","No, not planning to adopt / migrate","Locally","All day long"
"89",1223,"German","internal","Switzerland","17 or younger","Windows","Web Back-end","Android","Windows","C++","Java","Yes, I write unit tests","MySQL","SQLite","Locally","All day long"
"90",1232,"English","internal","United States","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C++","Yes, I write unit tests","MS SQL Server","Cassandra","Private Servers","Several times a day"
"91",1239,"English","internal","United States","30-39","Windows","Web Back-end","Android","Windows","C#","JavaScript","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"92",1269,"Portuguese","external","Brazil","21-29","Windows","Mobile","Windows","Windows","No, not planning to adopt / migrate","C","Yes, I write unit tests","SQLite","No, not planning to adopt / migrate","Locally","All day long"
"93",1290,"English","external","Canada","50-59","Windows","Mobile","Windows","Windows","No, not planning to adopt / migrate","C#","No","MS SQL Server","No, not planning to adopt / migrate","Locally","Never"
"94",1292,"English","external","Canada","50-59","Windows","Mobile","iOS","Windows","No, not planning to adopt / migrate","Objective-C","Yes, I write unit tests","MS SQL Server","Cassandra","Locally","Several times a week"
"95",1313,"French","external","France","18-20","Windows","Web Back-end","Windows","Windows","Haskell","C++","Yes, I use unit tests, but I don't write them","MySQL","PostgreSQL","Private Servers","Several times a week"
"96",1315,"English","internal","United States","21-29","macOS","Web Back-end","iOS","macOS","No, not planning to adopt / migrate","Swift","Yes, I use unit tests, but I don't write them","Couchbase","No, not planning to adopt / migrate","Locally","All day long"
"97",1335,"English","external","France","50-59","macOS","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","HTML / CSS","Yes, I use unit tests, but I don't write them","MS SQL Server","No, not planning to adopt / migrate","Locally","Less frequently"
"98",1342,"English","internal","Sweden","21-29","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"99",1343,"Portuguese","internal","Brazil","21-29","Windows","Web Back-end","Windows","Windows","Ruby","C#","No","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"100",1346,"English","external","Brazil","30-39","Windows","Web Back-end","Windows","Windows","Python","C#","No","MS SQL Server","PostgreSQL","Locally","All day long"
"101",1362,"English","internal","Mexico","30-39","macOS","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","JavaScript","No","MS SQL Server","No, not planning to adopt / migrate","Locally","Less frequently"
"102",1372,"German","internal","Austria","17 or younger","Unix / Linux","Web Back-end","Android","Windows","C","Java","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"103",1384,"English","internal","Netherlands","18-20","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Python","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","Several times a week"
"104",1396,"Spanish","external","Argentina","21-29","Windows","Web Front-end","Android","Windows","C++","Java","Yes, I use unit tests, but I don't write them","MySQL","No, not planning to adopt / migrate","Locally","Several times a week"
"105",1397,"Russian","external","Russia","18-20","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","C#","No","MySQL","No, not planning to adopt / migrate","Microsoft Azure","Several times a day"
"106",1400,"Spanish","external","Mexico","30-39","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I use unit tests, but I don't write them","MySQL","No, not planning to adopt / migrate","Private Servers","Several times a week"
"107",1422,"French","external","France","18-20","Windows","Web Back-end","Android","Windows","C++","C","No","MySQL","Oracle Database","Locally","Several times a week"
"108",1426,"English","internal","United States","30-39","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","C#","No","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"109",1461,"Turkish","external","Turkey","18-20","Windows","Web Back-end","Windows","Windows","C","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"110",1501,"English","external","Hong Kong","30-39","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","JavaScript","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"111",1506,"Korean","external","South Korea","30-39","Windows","Mobile","Windows","Windows","No, not planning to adopt / migrate","C#","No","MySQL","No, not planning to adopt / migrate","Locally","Never"
"112",1528,"English","internal","United States","30-39","Windows","Mobile","Windows","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a week"
"113",1540,"English","internal","Turkey","30-39","Windows","Mobile","Windows","Windows","Ruby","C#","No","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"114",1541,"English","external","India","21-29","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I use unit tests, but I don't write them","MySQL","No, not planning to adopt / migrate","Locally","Less frequently"
"115",1545,"English","external","India","21-29","Windows","Web Back-end","Android","Windows","Ruby","Python","No","MySQL","MongoDB","Locally","Several times a week"
"116",1552,"English","internal","Portugal","21-29","Windows","Web Back-end","Windows","Windows","Swift","Java","No","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
"117",1558,"English","internal","Turkey","40-49","macOS","Web Back-end","Android","Windows","No, not planning to adopt / migrate","JavaScript","Yes, I write unit tests","MySQL","Redis","Private Servers","Several times a day"
"118",1573,"Spanish","external","Spain","30-39","Windows","Web Front-end","Windows","Windows","No, not planning to adopt / migrate","C#","No","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a week"
"119",1578,"English","internal","United Kingdom","18-20","Windows","Mobile","Android","Windows","Kotlin","Java","No","DB2","No, not planning to adopt / migrate","Locally","All day long"
"120",1601,"English","external","Canada","21-29","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","JavaScript","Yes, I use unit tests, but I don't write them","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"121",1609,"German","internal","Germany","17 or younger","Windows","Web Back-end","Android","Windows","C++","Kotlin","Yes, I write unit tests","SQLite","PostgreSQL","Locally","All day long"
"122",1617,"English","internal","United States","40-49","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","JavaScript","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Amazon Web Services","Several times a day"
"123",1654,"English","internal","Hungary","40-49","Windows","Web Back-end","Windows","Windows","Python","C#","No","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"124",1655,"Russian","external","Russia","30-39","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","SQLite","Locally","Never"
"125",1671,"English","internal","United States","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","No","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"126",1676,"English","internal","Finland","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"127",1686,"Polish","external","Poland","18-20","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","PHP","Yes, I use unit tests, but I don't write them","MS SQL Server","No, not planning to adopt / migrate","Private Servers","All day long"
"128",1690,"English","internal","France","30-39","macOS","Web Back-end","Android","Windows","Kotlin","Java","Yes, I write unit tests","MySQL","Redis","Private Servers","All day long"
"129",1725,"Turkish","external","Turkey","21-29","Windows","Web Back-end","Windows","Windows","Scala","Java","Yes, I use unit tests, but I don't write them","MS SQL Server","DB2","Locally","Several times a week"
"130",1731,"English","external","Canada","17 or younger","Unix / Linux","Web Back-end","Android","Windows","Planning to adopt / migrate to other language(s) - Write in:","Haskell","No","MySQL","No, not planning to adopt / migrate","Other - Write In:","Several times a week"
"131",1734,"German","internal","Germany","30-39","Windows","Web Back-end","Android","Windows","TypeScript","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"132",1766,"Japanese","external","Japan","40-49","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","JavaScript","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","Several times a week"
"133",1783,"English","internal","United States","30-39","macOS","Web Back-end","iOS","macOS","Go","Swift","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"134",1792,"English","internal","Germany","21-29","Windows","Web Back-end","Android","Windows","Kotlin","Python","Yes, I write unit tests","MySQL","MongoDB","Locally","Several times a day"
"135",1798,"English","internal","United States","30-39","Unix / Linux","Mobile","Android","Unix / Linux","Kotlin","Objective-C","Yes, I write unit tests","SQLite","No, not planning to adopt / migrate","Locally","Several times a day"
"136",1806,"English","external","Canada","40-49","Windows","Web Back-end","iOS","Windows","TypeScript","C#","No","MS SQL Server","MongoDB","Locally","Less frequently"
"137",1813,"Chinese (s","external","China","21-29","Unix / Linux","Web Back-end","Android","Windows","No, not planning to adopt / migrate","JavaScript","Yes, I use unit tests, but I don't write them","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
"138",1814,"English","internal","Portugal","40-49","Unix / Linux","Mobile","Android","Windows","No, not planning to adopt / migrate","C++","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"139",1821,"English","external","Russia","21-29","Unix / Linux","Web Back-end","Android","Windows","C++","Java","No","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
"140",1824,"Portuguese","external","Brazil","30-39","Windows","Web Front-end","Android","Windows","C#","PHP","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"141",1868,"Russian","internal","Russia","30-39","macOS","Web Front-end","Android","Windows","Kotlin","Java","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","Several times a week"
"142",1877,"English","internal","Netherlands","21-29","Unix / Linux","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Go","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"143",1882,"English","internal","Kenya","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"144",1893,"English","external","United States","40-49","Windows","Web Back-end","Windows","Windows","Go","C#","Yes, I use unit tests, but I don't write them","MS SQL Server","Redis","Locally","Several times a day"
"145",1895,"English","internal","Germany","30-39","Windows","Web Back-end","Android","Unix / Linux","No, not planning to adopt / migrate","Kotlin","Yes, I write unit tests","PostgreSQL","No, not planning to adopt / migrate","Locally","Several times a day"
"146",1900,"English","external","Sweden","30-39","Unix / Linux","Web Back-end","Windows","Windows","TypeScript","HTML / CSS","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"147",1902,"English","external","United States","18-20","Windows","Web Back-end","Android","Windows","Scala","C#","Yes, I use unit tests, but I don't write them","MS SQL Server","Cassandra","Locally","Several times a week"
"148",1911,"English","external","Mexico","30-39","Windows","Web Front-end","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I use unit tests, but I don't write them","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"149",1932,"Turkish","internal","Turkey","21-29","Windows","Web Back-end","Windows","Windows","Haskell","C","No","DB2","MongoDB","Private Servers","Several times a day"
"150",1935,"English","internal","Brazil","17 or younger","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","PHP","Yes, I write unit tests","MySQL","MS SQL Server","Locally","Several times a week"
"151",1949,"German","external","Germany","18-20","Unix / Linux","Web Back-end","Android","Unix / Linux","No, not planning to adopt / migrate","JavaScript","No","SQLite","No, not planning to adopt / migrate","Locally","Several times a day"
"152",1956,"English","internal","United States","40-49","Windows","Web Back-end","Windows","Windows","TypeScript","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
